,Date,Price,Open,High,Low,Change,DATE,DAILY TONNAGE,Tonnage,Grade,RecoveryPct,Gold_Return,Cumulative_Tonnage,Recovery_MA7
136,2017-12-27,1291.4,1287.8,1293.2,1286.0,0.003,2017-12-27,116,116,161.0,86.33540372670807,0.009852987175477113,16795,89.03746746045651
137,2018-01-03,1320.8,1322.0,1324.5,1311.5,0.0019,2018-01-03,91,91,175.0,89.71428571428571,0.02276599039801752,16886,89.06840586321489
138,2018-01-10,1321.6,1315.0,1329.5,1312.4,0.0043,2018-01-10,101,101,292.0,91.43835616438356,0.0006056935190792423,16987,89.19191810215493
139,2018-01-17,1341.4,1341.8,1345.2,1329.6,0.0016,2018-01-17,143,143,245.0,91.42857142857144,0.014981840193704743,17130,89.20750767131594
140,2018-01-24,1358.7,1343.0,1363.4,1342.0,0.0147,2018-01-24,86,86,241.0,90.04149377593362,0.012896973311465665,17216,89.07292013110973
141,2018-01-31,1343.1,1341.8,1351.0,1335.5,0.0023,2018-01-31,75,75,201.0,91.04477611940298,-0.011481563258997629,17291,89.49848191653882
142,2018-02-07,1314.6,1326.6,1334.8,1313.5,-0.0112,2018-02-07,68,68,166.0,87.95180722891565,-0.021219566674112178,17359,89.70781345117157
143,2018-02-14,1358.0,1331.9,1358.6,1319.1,0.0207,2018-02-14,97,97,260.0,90.76923076923076,0.03301384451544198,17456,90.34121731438911
144,2018-02-21,1332.1,1331.2,1338.5,1324.4,0.0007,2018-02-21,121,121,273.0,90.10989010989012,-0.01907216494845365,17577,90.39773222804686
145,2018-02-28,1320.6,1323.8,1323.8,1323.8,-0.0006,2018-02-28,107,107,164.0,84.7560975609756,-0.00863298551159819,17684,89.44312385613145
146,2018-03-06,1337.9,1326.0,1342.4,1325.7,0.0116,2018-03-06,109,109,246.0,89.02439024390245,0.013100106012418733,17793,89.09966940117873
147,2018-03-13,1329.8,1328.5,1330.7,1317.0,0.0048,2018-03-13,170,170,183.0,87.97814207650273,-0.006054264145302413,17963,88.80490487268862
